source_folder,base_image,docker_image_name,image_size,package_extraction,dependency_installation,dockerfile_generated,executable,dockergeneration-time-real,dockergeneration-time-user,dockergeneration-time-sys,detected_dependencies,installed_dependencies,ms-base-image,minimal-set,advanced-dependencies,extended-base,code-inspection-time,overall-time,execution-error,dockerfile-error,error-label
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,2m31.026s,0m0.324s,0m0.237s,4,7,1,0,0,0,21.788689136505127,188.61809515953064,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,1m49.711s,0m0.286s,0m0.210s,4,7,1,0,0,0,20.104833126068115,147.98277688026428,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,2m19.468s,0m0.316s,0m0.230s,4,7,1,0,0,0,22.8439302444458,183.28200697898865,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,1m37.388s,0m0.287s,0m0.208s,4,7,1,0,0,0,22.40450882911682,136.9630126953125,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,2m11.200s,0m0.314s,0m0.228s,4,7,1,0,0,0,21.0906720161438,167.64248514175415,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1052531689,renv,rspm-only-binary,1,1,1m32.629s,0m0.288s,0m0.205s,4,7,1,0,0,0,20.428630113601685,129.8418083190918,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,2m27.947s,0m0.319s,0m0.245s,4,9,1,0,1,0,23.14811682701111,186.5275387763977,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,2m28.858s,0m0.307s,0m0.217s,4,9,1,0,1,0,24.724590063095093,189.66547989845276,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,2m35.782s,0m0.314s,0m0.232s,4,9,1,0,1,0,27.431596040725708,199.85057997703552,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,1m48.996s,0m0.288s,0m0.211s,4,9,1,0,1,0,28.411747217178345,153.27449798583984,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,2m9.483s,0m0.308s,0m0.222s,4,9,1,0,1,0,25.583628177642822,170.23787689208984,-,-,
rdb/applied-pred-7.1,rver-base,applied-pred-7.1,1062185663,renv,rspm-only-binary,1,1,1m53.903s,0m0.297s,0m0.225s,4,9,1,0,1,0,24.577682971954346,152.68146586418152,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1067163554,renv,rspm-only-binary,1,1,3m30.441s,0m0.370s,0m0.293s,6,9,1,0,0,0,27.018803119659424,370.0918529033661,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1067163554,renv,rspm-only-binary,1,1,2m55.769s,0m0.351s,0m0.258s,6,9,1,0,0,0,25.249568939208984,330.2732391357422,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1067163554,renv,rspm-only-binary,1,1,2m47.343s,0m0.340s,0m0.258s,6,9,1,0,0,0,26.060821294784546,322.6300480365753,-,-,
rdb/applied-pred-6.1,rver-base,applied-pred-6.1,1067163554,renv,rspm-only-binary,1,1,2m41.412s,0m0.336s,0m0.242s,6,9,1,0,0,0,25.92395806312561,315.5217237472534,-,-,
