package,dependency,func
caret,kernlab,train 
caret,glmnet,train 
caret,glmnet,carImp
caret,glmnet,trainControl
caret,ModelMetrics,train 
caret,ModelMetrics,trainControl 
caret,Matrix,trainControl
caret,Matrix,train 
dplyr,purrr,mutate
dplyr,purrr,across
dplyr,purrr,all_of
dplyr,purrr,%>%
dplyr,base,mutate
dplyr,base,group_by
dplyr,base,%>%
dplyr,stringi,arrange
dplyr,lobstr,bind_cols
dplyr,lobstr,group_by
dplyr,lobstr,group_vars
dplyr,dbplyr,as_tibble
dplyr,dbplyr,count
dplyr,dbplyr,%>%
dplyr,dbplyr,collect
dplyr,rsqlite,as_tibble
dplyr,rsqlite,count
dplyr,rsqlite,%>%
dplyr,rsqlite,collect
dplyr,tibble,group_by
dplyr,tibble,group_data
ggplot2,maps,annotation_custom
ggplot2,maps,annotation_logticks
ggplot2,maps,annotation_map
ggplot2,maps,annotation_raster
ggplot2,maps,geom
ggplot2,maps,aes
ggplot2,maps,geom_polygon
ggplot2,maps,coord_map
ggplot2,maps,ggplot
ggplot2,maps,scale_y_continuous 
ggplot2,maps,scale_x_continuous
ggplot2,sf,ggplot
ggplot2,sf,geom_point
ggplot2,sf,coord_sf
ggplot2,sf,theme_gray
ggplot2,sf,theme
ggplot2,sf,geom_sf
ggplot2,sf,scale_x_continuous
ggplot2,sf,scale_y_continuous
ggplot2,sf,annotate
ggplot2,sf,xlim
ggplot2,sf,ylim
ggplot2,sf,sf_transform_xy
ggplot2,mapproj,ggplot
ggplot2,mapproj,aes
ggplot2,mapproj,geom_polygon
ggplot2,mapproj,coord_map
ggplot2,mapproj,scale_y_continuous
ggplot2,mapproj,scale_x_continuous
ggplot2,hexbin,aes
ggplot2,hexbin,geom_hex
ggplot2,hexbin,layer_data
ggplot2,hexbin,data_frame
ggplot2,hexbin,expect_doppelganger
ggplot2,hexbin,coord_cartesian
ggplot2,hexbin,coord_trans
ggplot2,hexbin,coord_polar
ggplot2,hexbin,ggplot
ggplot2,quantreg,ggplot
ggplot2,quantreg,aes
ggplot2,quantreg,geom_quantile
ggplot2,quantreg,layer_data
ggplot2,svglite,ggplot
ggplot2,svglite,aes
ggplot2,svglite,geom_point
ggplot2,svglite,coord_fixed
ggplot2,svglite,theme
ggplot2,svglite,element_rect
ggplot2,svglite,ggsave
ggplot2,svglite,element_blank
ggplot2,xml2,ggplot
ggplot2,xml2,aes
ggplot2,xml2,geom_point
ggplot2,xml2,coord_fixed
ggplot2,xml2,theme
ggplot2,xml2,element_rect
ggplot2,xml2,ggsave
ggplot2,xml2,element_blank
tidyr,dplyr,unnest 
stringr,stringi,str_match
