project,cell,lines,strategy,time
data-filtering,1,30,native-python,0m11.178s
data-filtering,2,32,native-python,0m8.364s
data-filtering,3,27,native-python,0m8.194s
data-filtering,4,27,native-python,0m8.601s
data-filtering,5,9,native-python,0m6.930s
traits-computation,1,26,native-python,0m20.499s
traits-computation,2,30,native-python,0m9.656s
traits-computation,3,32,native-python,0m9.529s
traits-computation,4,28,native-python,0m10.134s
traits-computation,5,41,native-python,0m12.359s
traits-computation,6,10,native-python,0m9.049s
traits-computation,7,32,native-python,0m9.591s
traits-computation,8,10,native-python,0m8.875s
traits-computation,9,10,native-python,0m9.234s
traits-computation,10,41,native-python,0m14.504s
size-density,1,27,native-python,0m13.169s
size-density,2,142,native-python,1m40.961s
size-class,1,23,native-python,0m7.768s
size-class,2,64,native-python,0m35.427s

data-filtering,1,30,native-r,0m1.613s
data-filtering,2,32,native-r,0m1.307s
data-filtering,3,27,native-r,0m0.873s
data-filtering,4,27,native-r,0m0.868s
data-filtering,5,9,native-r,0m0.481s
traits-computation,1,26,native-r,0m2.135s
traits-computation,2,30,native-r,0m1.448s
traits-computation,3,32,native-r,0m1.345s
traits-computation,4,28,native-r,0m1.540s
traits-computation,5,41,native-r,0m1.628s
traits-computation,6,10,native-r,0m1.257s
traits-computation,7,32,native-r,0m1.525s
traits-computation,8,10,native-r,0m1.217s
traits-computation,9,10,native-r,0m1.432s
traits-computation,10,41,native-r,0m2.712s
size-density,1,27,native-r,0m1.842s
size-density,2,142,native-r,0m12.104s
size-class,1,23,native-r,0m0.901s
size-class,2,64,native-r,0m4.074s
