source_folder,base_image,docker_image_name,image_size,package_extraction,dependency_installation,dockerfile_generated,executable,dockergeneration-time-real,dockergeneration-time-user,dockergeneration-time-sys,detected_dependencies,installed_dependencies,ms-base-image,minimal-set,advanced-dependencies,extended-base,code-inspection-time,overall-time,execution-error,dockerfile-error,error-label
rdb/data-filtering,jupyr-base,data-filtering,2520126071,renv,cran-only-source,1,1,2m21.472s,0m0.287s,0m0.223s,1,4,0,0,0,0,2.239346981048584,154.95636892318726,-,-,
rdb/data-filtering,rapt-base,data-filtering,677863258,renv,spm-only-binary,1,1,0m16.467s,0m0.141s,0m0.110s,1,4,0,0,0,0,2.5379371643066406,29.270312309265137,-,-,
rdb/data-filtering,rver-base,data-filtering,890617473,renv,rspm-only-binary,1,1,1m7.610s,0m0.201s,0m0.157s,1,4,0,0,0,0,1.9296720027923584,82.82066988945007,-,-,
rdb/community-indeces,jupyr-base,community-indeces,2513270434,renv,cran-only-source,1,1,1m16.970s,0m0.214s,0m0.165s,1,4,0,0,0,0,1.7456109523773193,97.52105712890625,-,-,
rdb/community-indeces,rapt-base,community-indeces,668533697,renv,spm-only-binary,1,1,0m17.805s,0m0.165s,0m0.117s,1,4,0,0,0,0,6.450432062149048,33.159740924835205,-,-,
rdb/community-indeces,rver-base,community-indeces,871524683,renv,rspm-only-binary,1,1,0m21.777s,0m0.151s,0m0.122s,1,4,0,0,0,0,1.6635279655456543,32.29495191574097,-,-,
rdb/community-matrix,jupyr-base,community-matrix,2530418302,renv,cran-only-source,1,1,2m48.446s,0m0.293s,0m0.224s,2,5,0,0,0,0,2.036015033721924,187.6865038871765,-,-,
rdb/community-matrix,rapt-base,community-matrix,715541915,renv,spm-only-binary,1,1,0m35.935s,0m0.189s,0m0.123s,2,5,0,0,0,0,3.1062610149383545,50.48350501060486,-,-,
rdb/community-matrix,rver-base,community-matrix,980820869,renv,rspm-only-binary,1,1,2m20.503s,0m0.318s,0m0.240s,2,5,0,0,0,0,2.034632921218872,155.72346305847168,-,-,
rdb/size-class,jupyr-base,size-class,2520943476,renv,cran-only-source,1,1,2m42.861s,0m0.255s,0m0.199s,2,5,0,0,0,0,1.9026260375976562,173.01752924919128,-,-,
rdb/size-class,rapt-base,size-class,679564150,renv,spm-only-binary,1,1,0m19.506s,0m0.168s,0m0.113s,2,5,0,0,0,0,3.2033989429473877,30.315521240234375,-,-,
rdb/size-class,rver-base,size-class,902949804,renv,rspm-only-binary,1,1,1m21.027s,0m0.216s,0m0.155s,2,5,0,0,0,0,2.0166592597961426,90.39556097984314,-,-,
rdb/size-density,jupyr-base,size-density,2520357106,renv,cran-only-source,1,1,2m36.584s,0m0.276s,0m0.206s,2,5,0,0,0,0,2.379931926727295,166.50074124336243,-,-,
rdb/size-density,rapt-base,size-density,678963799,renv,spm-only-binary,1,1,0m42.468s,0m0.192s,0m0.137s,2,5,0,0,0,0,2.2712130546569824,53.24953484535217,-,-,
rdb/size-density,rver-base,size-density,916768286,renv,rspm-only-binary,1,1,1m28.694s,0m0.239s,0m0.177s,2,5,0,0,0,0,2.5384061336517334,100.03435921669006,-,-,
rdb/traits-computation,jupyr-base,traits-computation,2508429298,renv,cran-only-source,1,1,0m32.066s,0m0.170s,0m0.120s,0,3,0,0,0,0,2.2455170154571533,44.53415870666504,-,-,
rdb/traits-computation,rapt-base,traits-computation,662493920,renv,spm-only-binary,1,1,0m10.943s,0m0.132s,0m0.098s,0,3,0,0,0,0,1.920314073562622,22.921913146972656,-,-,
rdb/traits-computation,rver-base,traits-computation,862236934,renv,rspm-only-binary,1,1,0m16.485s,0m0.153s,0m0.112s,0,3,0,0,0,0,1.998065710067749,29.507261991500854,-,-,

rdb/data-filtering,jupyr-base,data-filtering,2505455718,renv,cran-only-source,1,1,0m2.600s,0m0.123s,0m0.116s,1,0,1,0,0,0,13.662965774536133,26.730566263198853,-,-,
rdb/data-filtering,rapt-base,data-filtering,677863212,renv,spm-only-binary,1,1,0m18.909s,0m0.161s,0m0.117s,1,1,1,0,0,0,10.833862781524658,40.09039115905762,-,-,
rdb/data-filtering,rver-base,data-filtering,888544447,renv,rspm-only-binary,1,1,1m5.963s,0m0.187s,0m0.145s,1,1,1,0,0,0,10.610631942749023,88.52810287475586,-,-,
rdb/community-indeces,jupyr-base,community-indeces,2510302799,renv,cran-only-source,1,1,0m54.196s,0m0.180s,0m0.129s,1,1,1,0,0,0,13.50962781906128,77.52546310424805,-,-,
rdb/community-indeces,rapt-base,community-indeces,668533651,renv,spm-only-binary,1,1,0m15.962s,0m0.144s,0m0.110s,1,1,1,0,0,0,13.042196989059448,38.33212637901306,-,-,
rdb/community-indeces,rver-base,community-indeces,869451657,renv,rspm-only-binary,1,1,0m15.311s,0m0.133s,0m0.117s,1,1,1,0,0,0,11.379170894622803,36.78073287010193,-,-,
rdb/community-matrix,jupyr-base,community-matrix,2527447436,renv,cran-only-source,1,1,2m7.844s,0m0.228s,0m0.184s,2,2,1,0,0,0,14.460597038269043,156.60047888755798,-,-,
rdb/community-matrix,rapt-base,community-matrix,715541869,renv,spm-only-binary,1,1,0m31.941s,0m0.187s,0m0.136s,2,2,1,0,0,0,16.010644912719727,58.888566970825195,-,-,
rdb/community-matrix,rver-base,community-matrix,978747843,renv,rspm-only-binary,1,1,1m27.224s,0m0.247s,0m0.192s,2,2,1,0,0,0,20.07753610610962,126.41089510917664,-,-,
rdb/size-class,jupyr-base,size-class,2505456592,renv,cran-only-source,1,1,0m2.445s,0m0.111s,0m0.088s,2,0,1,0,0,0,19.367008924484253,28.62270498275757,-,-,
rdb/size-class,rapt-base,size-class,679564104,renv,spm-only-binary,1,1,0m18.483s,0m0.143s,0m0.095s,2,2,1,0,0,0,13.873689889907837,40.69925618171692,-,-,
rdb/size-class,rver-base,size-class,900876778,renv,rspm-only-binary,1,1,0m48.914s,0m0.167s,0m0.128s,2,2,1,0,0,0,13.967758893966675,69.87074780464172,-,-,
