classcode,scientificname ,shape,missingdimension,formulaformissingdimension,hd,formulaforbiovolume,formulaforsurface,formulaforweight1,formulaforweight2,missingdimensionsimplified,formulaformissingdimensionsimplified,formulaforbiovolumesimplified,formulaforsurfacesimplified,measurementremarks,mostlk
1,Ceratoneis closterium,prolate spheroid+2 cylinder,no,no,,((pi/6)*(d^2)*h)+((pi/4)*(d1^2)*h1)+((pi/4)*(d1^2)*h2),((pi/2)*d)*(d+(((h^2)/sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))+((pi*d1)*(h1+h2)),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),unique,y
5,Dinophyceae,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),morethan20,y
6,Navicula,prism on elliptic base,c,hd*a,0.27253989,(pi/4)*a*b*c,(pi/2)*((a*b)+(c*(a+b))),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(pi/4)*length*width*c,(pi/2)*((length*width)+(c*(length+length))),valvar,y
7,Nitzschia,prism on parallelogram base,c,hd*a,0.190654762,(1/2)*a*b*c,((a*b)+((sqrt((a^2)+(b^2)))/4)*c),0.26*Biovolume^0.86,0.288*Biovolume^0.811,c,hd*length,(1/2)*length*width*c,((length*width)+((sqrt((length^2)+(width^2)))/4)*c),valvar,y
8,Coccolithophyceae ,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),morethan20,y
11,Cryptophyceae,cone+half sphere,no,no,,(pi/4)*h*d^2,(pi/2)*d*(d+(sqrt(((2*h^2)-(h*d)+(d^2))/2))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/4)*length*width^2,(pi/2)*width*(width+(sqrt(((2*length^2)-(length*width)+(width^2))/2))),unique,y
14,Gymnodinium,ellipsoid,c,hd*h,0.449523325,(pi/6)*b*c*h,(pi/4)*(b+c)*(((b+c)/2)+(((2*(h^2))/((sqrt(4*h^2-((b+c)^2)))))*asin((sqrt(4*h^2-((b+c)^2)))/(2*h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,c,hd*length,(pi/6)*width*c*length,(pi/4)*(width+c)*(((width+c)/2)+(((2*(length^2))/((sqrt(4*length^2-((width+c)^2)))))*asin((sqrt(4*length^2-((width+c)^2)))/(2*length)))),frontal,y
17,Phytoflagellates,sphere,no,no,,(pi/6)*d^3,(pi*(d^2)),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*length^3,(pi*(length^2)),morethan20,y
18,Phytoflagellates,prolate spheroid,no,no,,(pi/6)*(d^2)*h,((pi/2)*d)*(d+(((h^2)/(sqrt((h^2)-(d^2))))*(asin((sqrt((h^2)-(d^2)))/h)))),0.26*Biovolume^0.86,0.216*Biovolume^0.939,no,no,(pi/6)*(width^2)*length,((pi/2)*width)*(width+(((length^2)/(sqrt((length^2)-(width^2))))*(asin((sqrt((length^2)-(width^2)))/length)))),lessthan20,y
22,Bacillariophyceae,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),valvar,n
23,Bacillariophyceae,cylinder,no,no,,(pi/4)*(d^2)*h,pi*d*((d/2)+h),0.26*Biovolume^0.86,0.288*Biovolume^0.811,no,no,(pi/4)*(width^2)*length,pi*width*((width/2)+length),girdle,y
