country;locality;year;month;day;parenteventid;eventid;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
australia;magnetic island;2011;3;4;10;a;1;3;14;12;44;165;101;19;1;4;8;0;0;0;0
australia;magnetic island;2011;3;4;12;c;0;5;11;15;24;169;106;19;6;4;5;2;1;0;0
australia;ocean pacific;2011;3;4;13;b;0;5;8;12;16;168;105;19;5;7;7;2;1;0;0
australia;magnetic island;2011;3;4; 8;c;3;3;9;7;23;203;96;18;4;7;4;5;2;0;0
australia;magnetic island;2011;3;4;11;c;0;1;8;19;31;162;108;27;5;9;4;1;1;0;0
australia;magnetic island;2011;3;4; 2;b;1;1;22;20;23;128;85;29;14;9;11;1;0;0;0
australia;magnetic island;2011;3;4;12;b;0;1;5;3;23;193;117;17;5;2;8;3;2;0;0
australia;magnetic island;2011;3;4; 4;c;0;2;11;23;10;136;109;28;8;9;7;6;1;0;0
australia;ocean pacific;2011;3;4;14;b;0;1;6;6;30;176;117;20;4;6;5;2;2;0;0
australia;ocean pacific;2011;3;4;13;a;0;2;6;23;22;159;81;29;9;5;11;3;1;0;0
australia;magnetic island;2011;3;4; 1;b;0;2;15;18;18;135;70;27;5;5;3;1;0;0;0
australia;magnetic island;2011;3;4; 6;b;0;3;9;9;26;165;113;34;6;9;5;4;3;0;0
australia;magnetic island;2011;3;4; 6;c;0;1;10;9;25;167;118;25;6;5;3;3;3;0;0
australia;ocean pacific;2011;3;4;15;b;0;3;6;16;29;156;109;26;6;7;4;1;1;0;0
australia;magnetic island;2011;3;4; 1;c;0;6;19;23;29;127;74;26;11;8;15;4;1;0;0
australia;ocean pacific;2011;3;4;13;c;2;0;8;9;17;183;102;24;9;4;7;4;1;0;0
australia;magnetic island;2011;3;4; 8;a;1;1;12;7;22;153;116;37;5;6;9;3;2;0;0
australia;magnetic island;2011;3;4; 9;a;1;1;12;13;17;181;118;19;9;3;8;4;3;0;0
australia;magnetic island;2011;3;4; 9;c;0;3;6;15;30;177;100;31;11;5;4;3;3;0;0
australia;magnetic island;2011;3;4;11;b;1;6;11;14;29;137;105;18;8;7;9;6;1;0;0
australia;magnetic island;2011;3;4; 9;b;0;2;6;19;28;176;99;24;13;6;7;1;0;0;0
australia;magnetic island;2011;3;4;12;a;0;2;8;9;27;178;95;28;6;7;8;2;1;0;0
australia;magnetic island;2011;3;4; 5;a;0;1;11;23;19;157;69;34;11;11;12;2;2;0;0
australia;magnetic island;2011;3;4;11;a;1;3;17;14;27;160;104;14;5;4;4;3;0;0;0
australia;magnetic island;2011;3;4;10;c;0;2;14;13;30;163;94;26;9;3;2;6;1;0;0
australia;ocean pacific;2011;3;4;15;c;1;4;9;15;18;157;114;18;8;10;6;0;1;0;0
australia;ocean pacific;2011;3;4;14;c;0;1;9;9;12;192;101;16;8;4;4;1;1;0;0
australia;magnetic island;2011;3;4; 3;a;1;5;10;30;18;114;70;31;15;13;5;5;4;0;0
australia;magnetic island;2011;3;4; 5;b;0;0;17;14;18;174;98;22;9;7;6;5;1;0;0
australia;magnetic island;2011;3;4; 4;b;1;4;11;13;20;133;79;36;14;9;9;7;0;0;0
australia;magnetic island;2011;3;4; 1;a;0;5;15;19;20;120;102;27;8;13;10;7;0;0;0
australia;magnetic island;2011;3;4; 7;c;1;1;12;6;48;174;80;25;8;5;10;0;1;0;0
australia;magnetic island;2011;3;4; 3;b;0;6;14;22;15;112;71;37;11;15;10;6;1;0;0
australia;ocean pacific;2011;3;4;15;a;0;0;3;15;24;143;98;23;5;3;6;1;2;0;0
australia;ocean pacific;2011;3;4;16;a;0;3;16;26;41;161;82;36;9;8;8;2;1;0;0
australia;ocean pacific;2011;3;4;18;a;0;5;21;38;52;102;108;42;13;6;8;2;1;0;0
australia;magnetic island;2011;3;4; 6;a;1;2;8;13;11;158;142;22;6;6;8;4;4;0;0
australia;magnetic island;2011;3;4; 8;b;0;4;12;8;17;158;108;30;5;6;10;5;0;0;0
australia;ocean pacific;2011;3;4;16;c;1;1;17;29;42;120;123;32;9;9;10;2;0;0;0
australia;magnetic island;2011;3;4;10;b;1;3;16;22;23;146;115;23;9;7;8;3;0;0;0
australia;magnetic island;2011;3;4; 4;a;0;9;15;27;23;140;98;21;16;6;15;6;0;0;0
australia;magnetic island;2011;3;4; 7;b;0;3;7;16;38;161;99;26;8;7;9;4;1;0;0
australia;magnetic island;2011;3;4; 7;a;0;2;11;12;18;186;101;27;4;8;9;2;0;0;0
australia;ocean pacific;2011;3;4;17;a;0;9;24;37;40;108;121;30;6;4;4;5;2;0;0
australia;magnetic island;2011;3;4; 2;a;0;5;16;17;22;124;88;37;15;9;3;5;1;0;0
australia;magnetic island;2011;3;4; 5;c;1;2;13;19;20;126;142;31;3;8;3;4;0;0;0
australia;ocean pacific;2011;3;4;17;b;3;3;37;65;35;96;107;30;6;1;9;1;1;1;0
australia;magnetic island;2011;3;4; 2;c;0;3;18;14;24;148;113;25;8;10;6;2;1;0;0
australia;ocean pacific;2011;3;4;16;b;0;5;27;45;62;130;61;30;11;8;4;1;0;0;0
australia;ocean pacific;2011;3;4;18;b;0;4;13;19;62;119;125;30;5;6;5;1;0;0;1
australia;ocean pacific;2011;3;4;14;a;3;2;3;9;18;182;97;24;8;4;12;5;0;0;0
australia;magnetic island;2011;3;4; 3;c;2;5;17;23;15;125;104;36;12;6;8;5;2;0;0
australia;ocean pacific;2011;3;4;18;c;1;1;4;24;28;104;180;37;5;4;4;1;0;0;0
australia;ocean pacific;2011;3;4;17;c;0;3;6;16;39;135;156;25;7;4;2;5;0;0;0
