country;locality;year;month;day;parenteventid;eventid;density;average biovolume;average cell carbon content
australia;magnetic island;2011;3;4;10;a;20268373.88;5265.33802228412;230.947298050139
australia;magnetic island;2011;3;4;12;c;16119251.83;12992.8803154574;463.588864353312
australia;ocean pacific;2011;3;4;13;b;14780192.31;6731.94646723647;241.360313390313
australia;magnetic island;2011;3;4; 8;c;14738083.5;2316.70152737752;191.469884726225
australia;magnetic island;2011;3;4;11;c;18443658.05;10075.0722252747;381.747994505494
australia;magnetic island;2011;3;4; 2;b;11843103.75;1284.67579387187;99.0723955431755
australia;magnetic island;2011;3;4;12;b;16523496.39;2500.53544342508;183.380366972477
australia;magnetic island;2011;3;4; 4;c;12554903.41;1575.80452012384;148.473034055728
australia;ocean pacific;2011;3;4;14;b;14226299.22;1658.03298630137;139.602246575342
australia;ocean pacific;2011;3;4;13;a;17547888.16;2014.94630890052;175.326544502618
australia;magnetic island;2011;3;4; 1;b;13410036.15;2498.70290697674;193.458197674419
australia;magnetic island;2011;3;4; 6;b;11992589.8;2021.54426553672;123.87697740113
australia;magnetic island;2011;3;4; 6;c;10700593.2;1857.13080779944;154.907298050139
australia;ocean pacific;2011;3;4;15;b;11874685.36;1243.04349333333;112.643466666667
australia;magnetic island;2011;3;4; 1;c;6316320;2121.01616;187.10856
australia;ocean pacific;2011;3;4;13;c;16338218.28;1495.99984536082;100.306932989691
australia;magnetic island;2011;3;4; 8;a;12285246.29;771.517428571429;64.8152727272727
australia;magnetic island;2011;3;4; 9;a;12032593.41;1987.35976190476;132.655899470899
australia;magnetic island;2011;3;4; 9;c;13036888.35;1659.20628571429;173.412597402597
australia;magnetic island;2011;3;4;11;b;9215814.94;1050.16866840731;87.5164490861619
australia;magnetic island;2011;3;4; 9;b;13462785.98;1084.01128686327;88.3876407506702
australia;magnetic island;2011;3;4;12;a;10265685.44;2392.00950777202;189.328886010363
australia;magnetic island;2011;3;4; 5;a;10908660.29;1770.91551912568;107.19674863388
australia;magnetic island;2011;3;4;11;a;7781708.55;971.563142857143;91.8631168831169
australia;magnetic island;2011;3;4;10;c;9504561.1;1438.79982142857;104.91193877551
australia;ocean pacific;2011;3;4;15;c;13823718.58;870.556422976501;72.6016710182768
australia;ocean pacific;2011;3;4;14;c;5159437.76;711.331749347258;68.3739425587467
australia;magnetic island;2011;3;4; 3;a;6821626.14;11458.5155820106;268.589735449735
australia;magnetic island;2011;3;4; 5;b;8282618.37;1240.17079787234;119.116835106383
australia;magnetic island;2011;3;4; 4;b;10302622.18;1747.07040983607;121.337103825137
australia;magnetic island;2011;3;4; 1;a;9070239.11;1463.77727019499;125.62791086351
australia;magnetic island;2011;3;4; 7;c;9600809.44;2460.95758333333;188.415916666667
australia;magnetic island;2011;3;4; 3;b;9575544.91;1553.50214285714;144.610793650794
australia;ocean pacific;2011;3;4;15;a;11811522.14;1076.54758713137;113.714745308311
australia;ocean pacific;2011;3;4;16;a;10639492.66;699.411164021164;69.9829100529101
australia;ocean pacific;2011;3;4;18;a;9840164.8;1089.42070460705;113.9327100271
australia;magnetic island;2011;3;4; 6;a;9070239.11;2488.77440111421;133.157799442897
australia;magnetic island;2011;3;4; 8;b;8199733.08;1137.76521008403;105.642492997199
australia;ocean pacific;2011;3;4;16;c;10026330.08;1742.60593582888;154.169251336898
australia;magnetic island;2011;3;4;10;b;9786974.72;1501.7716576087;141.594347826087
australia;magnetic island;2011;3;4; 4;a;8304588.18;1077.14406417112;102.642941176471
australia;magnetic island;2011;3;4; 7;b;8314575.28;1359.43551246537;104.772520775623
australia;magnetic island;2011;3;4; 7;a;9660257.75;1014.86652307692;97.0234769230769
australia;ocean pacific;2011;3;4;17;a;8975193.14;3125.90380697051;159.215576407507
australia;magnetic island;2011;3;4; 2;a;8686446.98;1029.28543175487;101.645208913649
australia;magnetic island;2011;3;4; 5;c;5040423.36;2478.6604556962;207.345898734177
australia;ocean pacific;2011;3;4;17;b;4700520;3541.35895;268.061925
australia;magnetic island;2011;3;4; 2;c;4981320;3037.85878481013;266.821873417722
australia;ocean pacific;2011;3;4;16;b;5218524;2983.22954887218;235.926591478697
australia;ocean pacific;2011;3;4;18;b;4764740;3028.39220551378;259.964486215539
australia;ocean pacific;2011;3;4;14;a;4566212;2300.93763819095;229.005703517588
australia;magnetic island;2011;3;4; 3;c;4058852;2359.481375;253.98635
australia;ocean pacific;2011;3;4;18;c;6088280;2756.53763819095;261.090201005025
australia;ocean pacific;2011;3;4;17;c;6088280;1997.3997;161.542525
